Brand,Location,Category,Phone
Uniqlo,Japan,massmarket,4242313
Adidas,Germany,sport,8800555
Nike,USA,sport,342423
Gucci,Italy,lux,42425242
Givenchy,Italy,lux,42442424
Napapijri,Norway,sport,221
Prada,Italy,lux,1856652145
Balmain,France,lux,58665233
Versace,Italy,lux,549852652
Fendi,Italy,lux,245636541
Off-White,Italy,lux,2145636852
Moncler,Italy,lux,14565
Balenciaga,France,lux,158542
Saint Laurent,France,lux,652652652
Tommy Hilfiger,USA,massmarket,25632
Dolce & Gabbana,Italy,lux,551563212
Chanel,France,lux,1234567890
Puma,Germany,sport,9876543210
H&M,Sweden,massmarket,5555555
Victoria's Secret,USA,lux,88888888
Calvin Klein,USA,lux,7777777
Zara,Spain,massmarket,99999999
Levi's,USA,massmarket,33333333
Ralph Lauren,USA,lux,44444444
Hermes,France,lux,22222222
